ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DP5C2WSZ,B0DNNFJ5J7,"Cuperinox Teekanne aus Borosilikatglas mit Teesieb 350ml für Tee und Aufgüsse, Hitzebeständig und Mikrowellengeeignet- Infusion Prestige Collection",26110_,175,2,0.15%,0.06%,209,2,0.13%,0.04%,100.00%,100.00%,15,0,8.57%,0.00%,"189,18 €","0,00 €",11,0
B00TA4O5YO,B00TA4O5YO,"ARCOS Pinzetten aus Edelstahl 300 mm - Professionelles Küchenutensil für die Präsentation von Gerichten - Silber, Gadget Chef",606200,205,4,0.18%,0.12%,239,4,0.15%,0.08%,16.67%,0.00%,10,0,4.88%,0.00%,"109,29 €","0,00 €",10,0
B07G75XCXM,B07G75XCXM,Arcos Table Messer - Box 12 Stück Tischmesser Tafelmesser - Klinge Nitrum Edelstahl 125 mm - HandGriff Polypropylen Farbe Braun (12 pcs),370200_fbm,192,2,0.17%,0.06%,310,2,0.20%,0.04%,79.46%,100.00%,10,0,5.21%,0.00%,"199,90 €","0,00 €",10,0
B08G8QHY23,B08G8QHY23,Arcos | Steakmesser | Messer Bögen Holz | Bögen Steakmesser | 6-teiliges Set | Steakmesser | Holzgriff | Eco Verpackung,809300_,261,5,0.23%,0.15%,393,7,0.25%,0.14%,94.46%,100.00%,11,2,4.21%,40.00%,"266,62 €","42,00 €",10,1
B0B464Q8VS,B0B464Q8VS,CUPERINOX Küchenschere | haushaltsschere | schere küchenschere | schere küche | küchenschere spülmaschinenfest | haushaltsscheren hochwertig | 21 cm,GL-GPOC-BFYF,299,17,0.26%,0.50%,379,22,0.24%,0.43%,97.73%,100.00%,14,5,4.68%,29.41%,"131,94 €","41,95 €",10,1
B07JWM27F4,B07JWM27F4,"Arcos Küchenmesser-Set Geschmiedet Professionell - 3 Küchenmesser zum Schneiden und Schälen von Lebensmitteln - Ergonomischer Griff aus Polyoxymethylen - Rosa, Serie Riviera",855100,205,7,0.18%,0.21%,334,9,0.21%,0.18%,94.27%,100.00%,9,3,4.39%,42.86%,"642,15 €","189,06 €",9,3
B09KH47B8F,B098K898SC,CUPERINOX | Schinkenmesser und Schinkenhalter Set | 3 TEILE | Schinkenmesser aus Edelstahl (250 mm Klinge) + Schinkenhalter Gondel + Universal Schinkenschutzhülle,20226,153,4,0.14%,0.12%,191,5,0.12%,0.10%,95.45%,100.00%,9,0,5.88%,0.00%,"261,12 €","0,00 €",9,0
B078L5R4RW,B09LZ2VHYP,CUPERINOX Deluxe Italienischer Espressokocher Edelstahl Induktion 10 Tassen,25053,433,11,0.38%,0.32%,524,11,0.33%,0.22%,99.56%,100.00%,9,0,2.08%,0.00%,"315,49 €","0,00 €",9,0
B07F9RV81Z,B07F9RV81Z,Arcos Serie Latina - Box 12 Stück Steakmesser - Klinge Nitrum Edelstahl 105 mm - HandGriff Pack-Holz Farbe Braun (12 pcs),100400_fba,113,6,0.10%,0.18%,153,7,0.10%,0.14%,92.65%,100.00%,11,5,9.73%,83.33%,"390,14 €","179,95 €",8,3
B07G77FNSF,B07G77FNSF,Arcos Table Messer - Box 12 Stück Dessertmesser Tischmesser Tafelmesser - Klinge Nitrum Edelstahl 105 mm - HandGriff Polypropylen Farbe Braun (12 pcs),370100_,107,1,0.09%,0.03%,176,1,0.11%,0.02%,92.31%,100.00%,8,0,7.48%,0.00%,"142,27 €","0,00 €",8,0
