ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B077V7LJJM,B077V7LJJM,"Arcos Serie Riviera, Set Jamonero de 3 piezas, 1 Cuchillo Jamonero + 1 Deshuesador + 1 Chaira, Hoja de Acero Inoxidable Forjado Nitrum, Mango de Polioximetileno, POM, Color Negro",_806911_,220,13,0.04%,0.09%,304,15,0.04%,0.08%,72.66%,77.78%,6,0,2.73%,0.00%,"419,94 €","0,00 €",6,0
B078GYCH1G,B078GYCH1G,Tenedor de marisco - 6 unid,20023,54,2,0.01%,0.01%,85,6,0.01%,0.03%,98.68%,100.00%,6,0,11.11%,0.00%,"73,94 €","0,00 €",6,0
B0792XNYCY,B0792XNYCY,VINFER Detergente alcalino clorado Wins 022. Botella de 5 litros. Limpieza e higiene para Todo Tipo de Superficies,WINS022,61,3,0.01%,0.02%,86,5,0.01%,0.03%,93.75%,100.00%,6,0,9.84%,0.00%,"72,14 €","0,00 €",6,0
B093DSL44T,B07F9RV81Z,Arcos Cuchillo Chuletero de 4 Pulgadas con Hoja de 105mm en Acero Inoxidable y Mango de Madera. Cuchillo para Carne Apto para Lavavajillas. Serie Latina. Color Marrón,100400_fba,"1,119",19,0.20%,0.14%,"1,715",31,0.21%,0.16%,72.59%,100.00%,6,0,0.54%,0.00%,"215,94 €","0,00 €",6,0
B0B3F4QXML,B07HY6FKNQ,Arcos Serie Clasica - Juego de Cuchillos de 7 piezas en Caja de Regalo (5 Cuchillos + 1 Tijeras + 1 Chaira) - Hoja de Acero Inoxidable Forjado NITRUM - Mango de Polioximetileno (POM) - Color marrón,854400_2,445,11,0.08%,0.08%,631,19,0.08%,0.10%,95.97%,100.00%,6,0,1.35%,0.00%,"897,94 €","0,00 €",6,0
B0FR444FLT,B07N8S366Z,Arcos Cuchillo Cocina Forjado en Acero Inoxidable. Hoja Plateada 210 mm. Cuchillo Chef con Mango Profesional Micarta y Borde de Seda Especial. Serie Brooklyn. Color Azul.,190623_,423,15,0.07%,0.11%,559,19,0.07%,0.10%,95.83%,100.00%,6,0,1.42%,0.00%,"281,94 €","0,00 €",6,0
B0FR444FLT,B07N8TV9CC,Arcos Brooklyn Cuchillo Rebanar Jamonero Forjado Micarta Azul 250 mm,191923_,270,4,0.05%,0.03%,351,4,0.04%,0.02%,88.60%,100.00%,6,0,2.22%,0.00%,"239,04 €","0,00 €",6,0
B0FR444FLT,B07N8VCFRY,Arcos Brooklyn Cuchillo Panero Acero Inoxidable Nitrum 200 mm,191323_,172,2,0.03%,0.01%,207,3,0.03%,0.02%,96.61%,100.00%,6,0,3.49%,0.00%,"233,28 €","0,00 €",6,0
B089M821V5,B089M821V5,Arcos Cuchillos Carne | 6 pzas | Cuchillos chuleteros Set Cuchillo de Mesa Sierra | Mango Madera | Hoja 110 mm | Cuchillos Carne Mesa | Apto lavavajillas | Envase Carton | Ecologico,815500_,566,22,0.10%,0.16%,785,27,0.10%,0.14%,94.26%,100.00%,6,0,1.06%,0.00%,"179,94 €","0,00 €",6,0
B08L27XH2W,B08L27XH2W,"HENDI Mochila isotérmica de Transporte y Reparto de Pizzas y Alimentos, Bolsa aislada e Impermeable para la Entrega de Pedidos de Pizza y Comidas, Interior 39x39x(H) 45cm, Negra, 41x41x(H) 48cm",H709801,174,8,0.03%,0.06%,298,12,0.04%,0.06%,61.51%,66.67%,6,0,3.45%,0.00%,"422,02 €","0,00 €",6,0
B0CQLNJVKL,B08TWYZQ6H,"Arcos Thera Sartén Antiadherente de 16 Cm para Inducción, Gas y Vitrocerámica. Sartén de Cocina Pequeña de Aluminio Fundido con Mango Ergonómico Extraíble y Apta para Lavavajillas. Color Negro y Azul",718000,577,14,0.10%,0.10%,792,15,0.10%,0.08%,15.88%,0.00%,6,0,1.04%,0.00%,"129,30 €","0,00 €",6,0
B08ZNM265D,B08ZNM265D,Arcos | cuchillos de mesa cuchillo mesa tradicional | 6 Piezas cuchillo chuletero | mango nailon | Envase Eco | Fabricado en España,704400,316,5,0.06%,0.04%,470,5,0.06%,0.03%,100.00%,100.00%,7,0,2.22%,0.00%,"188,93 €","0,00 €",6,0
B098BLF7X6,B098BLF7X6,"Tradineur - Grasera metálica para pescado con filtro, aceitera con colador para conservación de aceite de acero inoxidable, recipiente para colar aceites - Ø 9 cm",22106_us,104,2,0.02%,0.01%,152,2,0.02%,0.01%,98.47%,100.00%,6,0,5.77%,0.00%,"44,94 €","0,00 €",6,0
B0CRDY65RY,B09T9QCXL9,Arcos Cacerola Antiadherente Aluminio Forjado 28 cm,717110,"1,725",23,0.30%,0.17%,"2,357",30,0.29%,0.15%,27.38%,23.08%,6,0,0.35%,0.00%,"328,50 €","0,00 €",6,0
B09XF6G1Q8,B09XF6G1Q8,Arcos Serie Universal - Juego de Cuchillos de Cocina de 4 piezas (3 Cuchillos Cocineros + Tijeras) - Hoja de Acero Inoxidable NITRUM - Mango de Polioximetileno (POM) - Color Negro,807410+TIJERA,212,3,0.04%,0.02%,301,4,0.04%,0.02%,99.23%,100.00%,6,0,2.83%,0.00%,"299,94 €","0,00 €",6,0
