ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BN6GWTWG,B005LR68DU, ,231000,306,19,0.10%,0.24%,524,42,0.12%,0.38%,72.20%,76.67%,24,4,7.84%,21.05%,"895,65 €","139,30 €",23,4
B0044R883Q,B0044R883Q,"Arcos Couteau d'Office en Acier Inoxydable pour Éplucher les Fruits et Légumes – Poignée Ergonomique en Polyoxyméthylène, Lame de 80 mm – Couleur Noire, Série Maitre",150200-cod_barras_arcos,643,10,0.21%,0.13%,890,11,0.21%,0.10%,30.06%,0.00%,29,0,4.51%,0.00%,"284,71 €","0,00 €",22,0
B017HKHR92,B005LR6C7C,"Arcos Couteau Santoku Professionnel Japonais – Lame de 180 mm pour Couper la Viande, le Poisson et les Légumes – Poignée Ergonomique en Polyoxyméthylène, Couleur Noire, Série Riviera",233500,"1,025",15,0.34%,0.19%,"1,515",19,0.36%,0.17%,39.48%,44.44%,23,3,2.24%,20.00%,"850,17 €","90,37 €",22,2
B00J3ZVMCS,B00J3ZVMCS,Arcos Séries Toscana - Cuillère à Café Set (6 Cuillère) - Monobloc d'une Pièce Acier Inoxydable 18/10 et 140 mm Couleur Argent,574200,800,14,0.27%,0.18%,"1,119",21,0.26%,0.19%,19.44%,41.18%,27,5,3.38%,35.71%,"260,15 €","45,49 €",22,3
B0DNRBQHLF,B0DNNF3839,"CUPERINOX Huilier en verre anti-goutte pour huile d'olive, 1000 ml, Bouteille huile, Bouteille en Verre pour Huile d'olive et Vinaigre",22024,286,6,0.10%,0.08%,376,7,0.09%,0.06%,99.71%,100.00%,22,0,7.69%,0.00%,"514,78 €","0,00 €",22,0
B0044R87LE,B0044R87LE,Arcos Couteau à Pain 210 mm Lame Dentelée en Acier Inoxydable Nitrum. Idéal Usage Domestique. Série Maitre. Couleur Noire,151400,625,20,0.21%,0.26%,850,29,0.20%,0.26%,36.22%,39.13%,24,4,3.84%,20.00%,"361,96 €","51,64 €",21,4
B08QG14NX9,B08JC8DSP6,Arcos Lot de 6 couteaux à steak classiques avec manche plat Monobock Lame de 110 mm Couverts en acier inoxydable Boîte écologique (fil lisse),815800_,371,4,0.12%,0.05%,601,6,0.14%,0.05%,100.00%,100.00%,27,0,7.28%,0.00%,"1.097,01 €","0,00 €",21,0
B08M99RZRV,B08M99RZRV,Arcos Couteau à jambon professionnel et couteau à désosser | Couteaux à jambon forgés | Couteaux à désosser forgés | 2 pièce | couteaux professionnels | pack épargne,703800,292,7,0.10%,0.09%,417,9,0.10%,0.08%,100.00%,100.00%,21,0,7.19%,0.00%,"920,75 €","0,00 €",21,0
B0DNQXN97X,B0DNQXN97X,"Support à jambon inoxydable pliable et rotatif professionnel avec base antidérapante pour couper les jambon et les palettes, comprend un couteau professionnel + aiguiseur | Elite (Inox + Couteau)",20250_fbm,"1,152",44,0.38%,0.56%,"1,895",61,0.45%,0.55%,80.31%,86.67%,21,0,1.82%,0.00%,"1.259,79 €","0,00 €",21,0
B0D2WWWPQW,B0CQTJ6T66,"CUPERINOX Lot de 12 couteaux à steak avec lame dentelée, manche en polypropylène, acier inoxydable, 11 cm, lavable au lave-vaisselle",99901_12pzs,"8,278",296,2.76%,3.79%,"11,130",381,2.62%,3.44%,96.15%,95.22%,24,8,0.29%,2.70%,"283,76 €","91,92 €",20,5
B0BR8S5D73,B0987MG3JQ,Arcos Jeu de couteaux à viande | Couteau à côtelettes | Couteaux à viande de table | 6 pièces | Lame 110 mm | Acier inoxydable | Manche en nylon | Passe au lave-vaisselle (tranchant lisse),814200_fba,296,4,0.10%,0.05%,422,6,0.10%,0.05%,100.00%,100.00%,26,2,8.78%,50.00%,"516,76 €","39,98 €",19,1
B0G473TPF1,B0DT73LYPQ,"CUPERINOX Couteaux Méthode Montessori | Kit Couteau Sécurité de Cuisine pour Enfants | Set de 16 Couteaux d'Apprentissage dès 2 Ans | Tablier, Gant, Moules et Planche à Découper | Kids Collection",27016_,572,1,0.19%,0.01%,848,2,0.20%,0.02%,100.00%,100.00%,16,0,2.80%,0.00%,"319,84 €","0,00 €",16,0
B0F54BK4GY,B07JJGTQK4,"Arcos Ensemble de Couteaux 3 Pièces en Acier Nitrum – Couteau de Cuisine Professionnel avec Poignée Ergonomique en Polyoxyméthylène POM, Idéal pour la Cuisine – Couleur Noire, Série Universelle",807410,279,5,0.09%,0.06%,404,5,0.10%,0.05%,88.41%,100.00%,15,0,5.38%,0.00%,"675,22 €","0,00 €",15,0
B09LR41V1Z,B08M3DQFHM,Arcos Couteau à jambon professionnel | Couteau à jambon en acier inoxydable Nitrum | Lame flexible et bord lisse | Lame 275 mm | Emballage écologique,151210,517,13,0.17%,0.17%,630,15,0.15%,0.14%,100.00%,100.00%,15,0,2.90%,0.00%,"266,85 €","0,00 €",15,0
B078JNNC71,B00YU2ZS1A,CUPERINOX - Cafetière Italienne Induction 4 Tasses Inox Tous Feux,25033,368,7,0.12%,0.09%,434,7,0.10%,0.06%,98.02%,100.00%,14,2,3.80%,28.57%,"254,88 €","34,83 €",14,2
B09DTG7BX6,B089QP6MYJ,Arcos Lot de 6 couteaux à steak en acier inoxydable | Couteau Steak | Couteau Arcos | Lave vaiselle avec manche monobloc | Monobloc,815600_,"17,901",371,5.97%,4.75%,"28,229",613,6.65%,5.53%,99.82%,100.00%,17,5,0.09%,1.35%,"504,83 €","144,95 €",14,4
