ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FBRNCHGJ,B0FBRNCHGJ,"CUPERINOX® Ventilatore portatile silenzioso e ricaricabile con Power Bank 20000 mAh, + 50 ore di batteria - Ventilatore da tavolo USB con maniglia, luce LED e 4 velocità, ideale per dormire, campeggio",A27000,322,7,0.09%,0.06%,430,10,0.08%,0.06%,98.48%,100.00%,2,0,0.62%,0.00%,"149,98 €","0,00 €",2,0
B0G2MT6K5N,B0G2MT6K5N,"Supporto per Prosciutto in acciaio girevole | prosciutto base inox | Include coltello prosciutto Alveolos 25 cm, disossatore 15 cm, affilatore e custodia per prosciutto | adatto prosciutto e cazzuola",20251_FBA,83,5,0.02%,0.04%,122,6,0.02%,0.04%,98.13%,100.00%,2,0,2.41%,0.00%,"135,42 €","0,00 €",2,0
B0GCX89NVM,B0GCX89NVM,"CUPERINOX - Supporto per prosciutto professionale in acciaio inossidabile | Sistema di bilanciamento e testa girevole | Stabilità, taglio ergonomico e facile pulizia | Adatto per prosciutti e palette|",20280,25,2,0.01%,0.02%,33,3,0.01%,0.02%,100.00%,0.00%,2,0,8.00%,0.00%,"179,98 €","0,00 €",2,0
B0H3LVRDHD,B0044R87K0,"Arcos Coltello Disossatore con Lama in Acciaio Inossidabile Nitrum 160 mm – Professionale per Tagliare Ossa e Carne, Manico Ergonomico in Polipropilene – Nero, Serie Maitre",151500,30,1,0.01%,0.01%,36,1,0.01%,0.01%,5.56%,0.00%,1,0,3.33%,0.00%,"15,99 €","0,00 €",1,0
B0044R87YQ,B0044R87YQ,ARCOS Coltello da Tavola Maître Nero 100 mm,150500_pp,204,2,0.05%,0.02%,281,2,0.05%,0.01%,9.09%,0.00%,1,0,0.49%,0.00%,"10,99 €","0,00 €",1,0
B0044R884U,B0044R884U,"Arcos Coltello Santoku in Acciaio Inossidabile – Coltello Affilato Giapponese per Pesce, Carne e Verdure – Manico Ergonomico in Poliossimetilene, Lama da 170 mm – Serie Universal, Colore Nero",286004,167,1,0.04%,0.01%,287,2,0.05%,0.01%,4.80%,0.00%,1,0,0.60%,0.00%,"25,99 €","0,00 €",1,0
B079RM8QL9,B005LR77GC,Arcos Serie Prochef - Forbici da Cucina - Lama Acciaio Inossidabile 240 mm - Manico Polipropilene Colore Nero e Rosso,185701_barras_arcos,740,22,0.20%,0.19%,997,27,0.19%,0.16%,5.38%,0.00%,1,0,0.14%,0.00%,"8,99 €","0,00 €",1,0
B079RM8QL9,B005LR77GC,Arcos Serie Prochef - Forbici da Cucina - Lama Acciaio Inossidabile 240 mm - Manico Polipropilene Colore Nero e Rosso,185701,740,22,0.20%,0.19%,997,27,0.19%,0.16%,5.38%,0.00%,1,0,0.14%,0.00%,"13,11 €","0,00 €",1,0
B017HKR8WS,B005LR7EP6,"ARCOS Afilacoltelli Professionale – Realizzato in ABS per Affilare Coltelli con Sicurezza e Precisione Senza Sforzo – Nero, Serie Afilatori, Dimensioni 110 x 90 x 150 mm",610000,"6,171",233,1.64%,2.01%,"8,643",356,1.63%,2.13%,13.60%,15.15%,1,1,0.02%,0.43%,"48,98 €","48,98 €",1,1
B00BQU1CN2,B00BQU1CN2,"HENDI Distributore di Bevande Calde Elettrico, Doppia Parete, Termostato Regolabile fino a 110°C, 9L, 230V, 2200W, 322x390x(H)522mm, Acciaio Inox",H211403,305,57,0.08%,0.49%,444,83,0.08%,0.50%,3.99%,20.25%,1,1,0.33%,1.75%,"120,08 €","120,08 €",1,1
B00WHV21BG,B00WHV21BG,FORBICI CUCINA | FORBICI DA CUCINA | FORBICI POLLO | FORBICI PESCARE | FORBICE PER PIZZA | FORBICE DA CUCINA | 20 Cm,21992_,19,0,0.01%,0.00%,24,0,0.00%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,"8,99 €","0,00 €",1,0
B0DD5X24Z8,B01BNQB7BU,"HENDI Padella per paella, ⌀600x(H) 55mm",H622407,25,0,0.01%,0.00%,33,0,0.01%,0.00%,9.38%,0.00%,1,0,4.00%,0.00%,"52,75 €","0,00 €",1,0
B0DF65M5S3,B01CQT1B5U,Arcos Coltelleria da Tavola - Scatola 12 Pezzi Coltello Bistecca Coltello Tavola - Monoblocco Unipezzo 110 mm - Colore Argento (12 PCS),702000_us,508,13,0.14%,0.11%,748,15,0.14%,0.09%,73.89%,78.57%,1,0,0.20%,0.00%,"49,99 €","0,00 €",1,0
B01DDMY78C,B01DDMY78C,"HENDI Chafing Dish da Buffet con Coperchio Rolltop 180°, Bagnomaria Professionale GN 1/1, Supporti per Combustibile e Riscaldamento Elettrico, 9L, 660x490x(H)460mm, Acciaio Inox",H470305,79,9,0.02%,0.08%,96,10,0.02%,0.06%,4.30%,44.44%,3,3,3.80%,33.33%,"540,99 €","540,99 €",1,1
