ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900fba,"15,321",283,0.39%,0.27%,"20,303",361,0.37%,0.24%,99.29%,99.58%,299,32,1.95%,11.31%,"7.735,81 €","802,55 €",271,18
B0DNNL2TZQ,B0DNN57WC1,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (250 Ml)",22022,"6,009",186,0.15%,0.18%,"8,431",261,0.15%,0.17%,99.33%,99.46%,293,14,4.88%,7.53%,"3.446,69 €","167,86 €",271,8
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,"6,405",165,0.16%,0.16%,"8,112",199,0.15%,0.13%,98.15%,96.99%,269,12,4.20%,7.27%,"3.660,13 €","163,69 €",267,12
B0FBRQYHVM,B0FBRNCHGJ,"CUPERINOX® Ventilador Portátil Silencioso y Recargable con Power Bank 20000mAh, +50H de batería – Ventilador de Mesa USB con Mando, Luz LED y 4 Velocidades – Ideal para Dormir, Camping y Hogar.",27000,"6,241",227,0.16%,0.21%,"10,161",385,0.18%,0.26%,99.30%,100.00%,277,30,4.44%,13.22%,"16.050,88 €","1.457,58 €",264,28
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105-22106,"10,461",185,0.27%,0.18%,"15,588",277,0.28%,0.18%,87.48%,90.32%,265,12,2.53%,6.49%,"3.052,60 €","136,93 €",263,12
B0DKP7F29P,B0DJBZ7G4Y,Arcos Serie Samoa Iconic | Sarten Antiadherente Cerámico 20 cm | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Apta lavavajillas | Color Beige | LIBRE DE (PFOA/PTFE/PFOS),716124,"5,963",88,0.15%,0.08%,"8,231",122,0.15%,0.08%,93.31%,98.80%,267,7,4.48%,7.95%,"9.019,31 €","234,25 €",263,7
B0FBRQYHVM,B0FBRLQK47,"CUPERINOX Ventilador Portatil, Camping, Exterior, Playa, Piscina, Festival| 5+ cargas movil| +48H de bateria | 20000mAh| Powerbank, Luz led, Mando a distancia y Temporizador",27001,"4,529",186,0.12%,0.18%,"7,475",305,0.13%,0.20%,99.09%,100.00%,272,43,6.01%,23.12%,"15.475,07 €","2.069,72 €",252,27
B0DNNL2TZQ,B0DNN4J6Q8,"CUPERINOX Aceitera antigoteo cristal para Aceite de Oliva, Vinagre etc. A prueba de fugas, Aceitera cristal antigoteo tambien aceiteros cocina ideal para Ensaladas, BBQ, cooking oil container (125 ML)",22021,"6,803",211,0.17%,0.20%,"9,337",288,0.17%,0.19%,99.72%,99.49%,278,11,4.09%,5.21%,"3.101,05 €","117,01 €",251,8
B0G6M1C8V6,B0G6L13H45,"CUPERINOX Graseras 1 Litro Acero Inoxidable para Carne y Pescado con Filtro de Malla Fina – Recipiente para Aceite Usado, Antigoteo, Tapa Antisalpicaduras – Gourmet Oil Collection",22121,"2,294",45,0.06%,0.04%,"3,079",64,0.06%,0.04%,98.44%,100.00%,255,11,11.12%,24.44%,"3.783,75 €","163,89 €",250,10
B0CYTKGNPM,B0843DQCF5,ARCOS Pelador de Verduras en Juliana de Acero Inoxidable Cromado 130 Mm. Pelador Profesional para Cortes en Juliana de Verduras y Hortalizas. Apto Lavavajillas. Color Plata,607200,"9,022",192,0.23%,0.18%,"10,477",230,0.19%,0.15%,96.58%,95.80%,261,19,2.89%,9.90%,"1.950,57 €","135,81 €",247,14
B0DQV6381X,B0DQDQ1DB8,CUPERINOX Jamonero | Jamonero Giratorio | Tabla Cortar Jamon | Jamoneros Profesional | Jamonero Plegable | Tabla Jamon | Cortador de Jamon,SC_20270,"6,937",144,0.18%,0.14%,"10,016",200,0.18%,0.13%,99.58%,100.00%,240,4,3.46%,2.78%,"8.208,80 €","141,00 €",240,4
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_605010,"5,391",187,0.14%,0.18%,"7,553",262,0.14%,0.17%,91.54%,65.54%,243,19,4.51%,10.16%,"2.303,42 €","177,51 €",234,13
B089MW6B1B,B078JNZS9T,Arcos Estuche de 3 Cuchillos Básicos de Cocina. Pack de Cuchillos con Hoja de Acero Inoxidable y Mango de Polieximetileno Aptos para Lavavajillas. Serie Universal. Color Negro,807400_us,"36,275",702,0.92%,0.66%,"51,101","1,026",0.92%,0.68%,15.82%,18.20%,232,15,0.64%,2.14%,"10.145,08 €","645,85 €",227,14
B0CYTKGNPM,B0CW66H3TR,Pelador de Tomate ARCOS - Hoja Serrada de Acero Inoxidable | Mango Ergonómico | Ideal para Tomates,607420,"9,382",188,0.24%,0.18%,"10,683",203,0.19%,0.14%,96.87%,97.46%,246,13,2.62%,6.91%,"1.965,67 €","103,87 €",224,5
B07G75XCXM,B07G75XCXM,"Arcos Serie Cuchillos de Mesa Caja 12 uds Cuchillo Mesa, Hoja Serrada de Acero Inoxidable NITRUM de 125 mm, Mango Polipropileno Color crema (12 UDS)",370200_fbm,"3,946",105,0.10%,0.10%,"6,241",175,0.11%,0.12%,95.56%,98.36%,246,20,6.23%,19.05%,"4.911,54 €","399,80 €",223,14
B0H9SL9KYG,B0H8SYBZD4,"CUPERINOX 4 Tuppers de Vidrio Herméticos, Rectangulares, sin BPA, Meal Prep",28001,"2,361",39,0.06%,0.04%,"3,645",55,0.07%,0.04%,98.98%,100.00%,232,6,9.83%,15.38%,"3.476,08 €","87,34 €",223,5
B0786LYQTP,B0786LYQTP,VINFER- Limpiador y Abrillantador Inox 600 ml | Limpieza y Protección Acero Inoxidable | Efecto Brillo Duradero | Desengrasa y Cuida Superficies Inoxidables | Spray Profesional,VP_Inox600Ml,"1,782",116,0.05%,0.11%,"2,543",163,0.05%,0.11%,84.06%,97.64%,363,117,20.37%,100.86%,"2.830,21 €","852,95 €",219,36
B0788NSRGR,B0788NSRGR,WINS-Detergente Máquinas Lavavajillas Profesional Aguas Duras 012 | Garrafa 5 L | Limpieza Potente de Vajilla en Lavavajillas Industriales | Uso Profesional | 100% Made in Spain,WINS012_5l,878,143,0.02%,0.14%,"1,277",220,0.02%,0.15%,70.05%,94.80%,298,123,33.94%,86.01%,"4.913,82 €","1.977,31 €",219,79
B0DNNKT1W2,B0DNNJCHQP,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (950 ml)",26113_,"2,925",80,0.07%,0.08%,"4,022",131,0.07%,0.09%,99.52%,100.00%,221,13,7.56%,16.25%,"4.312,43 €","242,14 €",218,12
B09KJLG7BT,B098TFPYLY,CUPERINOX Jamonero profesional Gondola | tabla jamon | Cuchillo Jamonero Alveolos Acero Inox + Cubre Jamón Universal | Set cortar jamón (3 PZAS) | Sujeta jamones | tabla jamonero,20228FBM,"3,010",75,0.08%,0.07%,"4,375",114,0.08%,0.08%,98.55%,100.00%,221,17,7.34%,22.67%,"7.653,37 €","594,83 €",214,14
B09N7S17J6,B09D3YRGL9,"CUPERINOX Navaja Plegable Multiusos – Hoja de Acero Inoxidable 80 mm (Filo Liso + Serrado), Punta Rompevidrios, Apertura Rápida, Clip de Cinturón, Herramienta para Camping, Caza, Pesca y Supervivencia",30061_solo_navaja,"10,282",185,0.26%,0.18%,"14,562",244,0.26%,0.16%,98.72%,99.29%,252,13,2.45%,7.03%,"2.522,14 €","119,49 €",214,10
B093DXB2PK,B00MDJVRG2,Arcos Latina Cuchillo para Verduras Acero Inoxidable 105 mm,100500_1_pieza,"1,625",29,0.04%,0.03%,"2,397",49,0.04%,0.03%,98.84%,100.00%,507,17,31.20%,58.62%,"2.502,54 €","84,83 €",213,4
B0189HXS8Q,B017DLLIUO,Arcos Navaja Profesional Acero Inoxidable 85 mm,485929,"6,284",133,0.16%,0.13%,"8,833",185,0.16%,0.12%,82.11%,84.96%,263,17,4.19%,12.78%,"1.982,16 €","123,95 €",212,9
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700fbm,"13,703",231,0.35%,0.22%,"19,237",327,0.35%,0.22%,91.58%,98.84%,234,22,1.71%,9.52%,"2.770,17 €","228,29 €",211,19
B0CVH8PC99,B0CQTJ6T66,"CUPERINOX® Cuchillos de Mesa Acero Inoxidable – Set Profesional 12 Piezas con Hoja Serrada de 11 cm y Mango Ergonómico Antideslizante – Para Carne, Verduras y Pescado",99901_12pzs,"6,497",273,0.17%,0.26%,"9,135",370,0.16%,0.25%,99.85%,100.00%,235,40,3.62%,14.65%,"2.776,24 €","457,59 €",209,33
B0189HXS8Q,B015QGR3CK,Arcos Serie Navajas Profesionales - Navaja Profesional - Hoja Filo de Acero Inoxidable NITRUM de 85 mm - Navaja de Acero Inoxidable Color amarillo,485900_fbm,"6,704",131,0.17%,0.12%,"9,178",193,0.17%,0.13%,88.94%,92.11%,273,29,4.07%,22.14%,"1.984,18 €","209,59 €",203,7
B017HKRCGK,B005LR7AWI,ARCOS Bolsa Portacuchillos 8 Piezas Poliéster 500x510mm,690400_,"5,468",137,0.14%,0.13%,"7,487",199,0.13%,0.13%,57.01%,47.11%,204,10,3.73%,7.30%,"5.064,26 €","243,65 €",200,10
