ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BJPYW95J,B0BJPYW95J,Arcos Accesorios - Sacacorchos Manual Abrebotellas Manual - Mango de Aleación de Zinc - Color Negro mate (Incluye cortacápsulas),607500,588,25,0.01%,0.02%,862,35,0.01%,0.02%,93.86%,96.00%,37,2,6.29%,8.00%,"1.467,58 €","77,42 €",35,2
B0F54LTCFF,B006LMX2GK,Arcos Cuchillo Jamonero Acero Inoxidable Forjado Nitrum 280 mm,281904,"2,441",70,0.06%,0.06%,"3,058",84,0.05%,0.05%,30.42%,20.00%,35,1,1.43%,1.43%,"612,15 €","17,49 €",34,1
B007TS6GP4,B007TS6GP4,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Acero Inoxidable 110 mm,815600--,"1,224",37,0.03%,0.03%,"1,809",41,0.03%,0.03%,68.43%,56.67%,37,1,3.02%,2.70%,"972,19 €","25,99 €",34,1
B0DSLN2CX9,B07N8W1J6B,Arcos Tabla cortar 15 x fibra resina y celulosa. Tabla picar. Serie Tablas. Color marrón.,708200,"3,101",47,0.07%,0.04%,"4,828",78,0.08%,0.05%,17.53%,20.41%,35,1,1.13%,2.13%,"945,55 €","26,99 €",34,1
B09DPRCMTF,B08MW2GWPC,Arcos Juego Cuchillos Carne | Cuchillo chuleteros | Cuchillos Carne Cuchillos Mesa | 6 Uds | Hoja 110 mm | Acero Inoxidable | Mango Nylon | Apto lavavajillas | Envase Ecológico (Filo Serrado),816400fbm,"1,574",37,0.04%,0.03%,"2,208",50,0.04%,0.03%,99.59%,100.00%,38,0,2.41%,0.00%,"747,62 €","0,00 €",34,0
B0F9X4NXL3,B0F9GJRSSJ,"CUPERINOX Cuchillos Mesa, cuchillo carne, cuchillo mantequilla, Set 6 piezas, acero inoxidable, hoja con filo y sierra, cuchillo untar. Apto lavavajillas. Mango ergonomico",20043_6,"1,109",30,0.03%,0.03%,"1,357",38,0.02%,0.02%,99.29%,96.30%,34,4,3.07%,13.33%,"338,16 €","38,46 €",34,4
B0DKP7F29P,B0FS7VJ21D,"Arcos Sartén Samoa Inox 26 cm, Acero inoxidable tricapa libre de PFAS",726400,"2,195",35,0.05%,0.03%,"2,843",39,0.05%,0.02%,61.30%,100.00%,34,1,1.55%,2.86%,"1.477,16 €","42,96 €",34,1
B0G3ZJ89NB,B0G2MT6K5N,"CUPERINOX Jamonero Inoxidable Giratorio | Jamonera base Inoxidable | Incluye Cuchillo Jamonero Alveolos 25 cm, Deshuesador 15 cm, Afilador y Funda para Jamón | Apto Jamones y Paletilla",20251,982,33,0.02%,0.03%,"1,359",44,0.02%,0.03%,99.14%,100.00%,34,3,3.46%,9.09%,"2.336,81 €","211,12 €",34,3
B0F1ZF7H1L,B005LR65BK,Arcos Cuchillo Negro 100 mm,230200_,"3,257",67,0.08%,0.06%,"4,840",86,0.08%,0.05%,15.26%,14.58%,34,0,1.04%,0.00%,"680,32 €","0,00 €",33,0
B005LR749W,B005LR749W,"ARCOS Juego de Cubiertos de 24 Piezas para Mesa. Cuberterí­a Completa para 6 Personas. Set de 6 Cucharas, 6 Cuchillos, 6 Tenedores y 6 Cucharas de Postre. Serie Berlí­n. Color Plata",562400_fbm,"5,102",139,0.12%,0.12%,"7,274",196,0.12%,0.12%,34.65%,43.55%,48,3,0.94%,2.16%,"4.218,52 €","260,97 €",33,1
B0DQV6381X,B079VN4MTH,CUPERINOX Jamonero de Madera Góndola Soporte para Pata y Paleta de jamón Serrano e ibérico con agarres de Metal Jamonera Economica,20200_us,"2,971",84,0.07%,0.07%,"3,252",88,0.05%,0.05%,99.20%,100.00%,34,0,1.14%,0.00%,"447,14 €","0,00 €",33,0
B0FR444FLT,B07YYDR6D8,Arcos Juego de Cuchillos de Cocina. 3 piezas de Acero Inoxidable forjado. Impresiona yorprencon cada corte. Mango Micarta azul. Serie Brooklyn. Color Azul.,858110,"15,233",308,0.36%,0.27%,"19,888",417,0.33%,0.26%,96.49%,91.12%,33,2,0.22%,0.65%,"3.287,59 €","200,98 €",33,2
B08VS4FCLN,B09HHGVG2N,"Arcos Juego Cuchillos Cocina cuchillos | Cuchillo profesional | 6 piezas | Chef 215 mm + Cocina 150 mm, Verduras 100 mm + Tijera cocina + Pelador de fruta y verdura + Pinza para pescado",854200fbm,"2,155",45,0.05%,0.04%,"3,051",65,0.05%,0.04%,99.65%,100.00%,34,1,1.58%,2.22%,"1.483,37 €","44,00 €",33,1
B00WUZR7H2,B00WUZR7H2,Arcos Serie Cuchillos de Mesa - Cuchillo Mesa - Hoja Serrada de Acero Inoxidable de 125 mm - Cuchillo Monoblock Acero Inoxidable Color Plata,460400_1pieza,689,9,0.02%,0.01%,956,10,0.02%,0.01%,98.71%,100.00%,158,5,22.93%,55.56%,"743,54 €","22,45 €",32,1
B0189HXOXK,B017DLLFIO,Arcos Navaja Acero Inoxidable 85 mm,485300_fmb,"1,018",27,0.02%,0.02%,"1,324",46,0.02%,0.03%,71.17%,89.19%,90,65,8.84%,240.74%,"525,58 €","338,33 €",32,9
B07878SB8W,B07878SB8W,WINS – Fregasuelos Limpiador Amoniacal Pino 018 | Garrafa 5 L | Friegasuelos Perfumado para Suelos y Superficies Lavables | Uso General | 100% Made in Spain,WINS018,450,27,0.01%,0.02%,605,31,0.01%,0.02%,74.28%,100.00%,49,11,10.89%,40.74%,"629,63 €","139,56 €",32,7
B078KJ1T6G,B078JQ8XST,"Arcos Serie Riviera, Juego Cuchillos Cocina, Hoja de Acero Inoxidable Forjado Nitrum, Mango de Polioximetileno, POM, Negro",807700_843600etiqueta,"30,080",644,0.70%,0.56%,"46,591","1,002",0.77%,0.61%,4.80%,9.24%,32,1,0.11%,0.16%,"2.239,68 €","69,99 €",32,1
B0FR444FLT,B07N8VCFRY,Arcos Brooklyn Cuchillo Panero Acero Inoxidable Nitrum 200 mm,191323_,"1,470",21,0.03%,0.02%,"1,788",29,0.03%,0.02%,87.39%,100.00%,32,2,2.18%,9.52%,"1.284,48 €","79,98 €",32,2
B0FR444FLT,B0843DNN57,Arcos Set Cuchillos Forjados 4 piezas (3 Cuchillos + 1 tijeras) - Acero Inoxidable Forjado NITRUM - Mango Micarta - Bloques Madera Color Azul. Serie Brooklyn. Impresiona yorprencon Cada Corte.,194000_,"2,106",55,0.05%,0.05%,"2,629",70,0.04%,0.04%,82.23%,75.47%,32,2,1.52%,3.64%,"3.687,68 €","211,98 €",32,2
B08T5Z4HFS,B08QYV8C1P,"CUPERINOX Cubiertos para marisco | Pinzas para marisco | Tenazas para marisco | 6 Unidades | Cubiertos marisco (Cangrejo, Langosta, Ostras) | Tenedor de marisco con dos dientes inferiores y cuchara.",20023_6Unidades,880,32,0.02%,0.03%,"1,248",39,0.02%,0.02%,98.76%,100.00%,34,2,3.86%,6.25%,"407,36 €","23,98 €",32,2
B08VS4FCLN,B09HHGVG2N,"Arcos Juego Cuchillos Cocina cuchillos | Cuchillo profesional | 6 piezas | Chef 215 mm + Cocina 150 mm, Verduras 100 mm + Tijera cocina + Pelador de fruta y verdura + Pinza para pescado",854200,"2,155",45,0.05%,0.04%,"3,051",65,0.05%,0.04%,99.65%,100.00%,34,3,1.58%,6.67%,"1.495,66 €","131,97 €",32,1
B0C49W65HD,B0C49W65HD,Arcos Serie Nordika - Cuchillo Tomatero - Acero Inoxidable NITRUM - Hoja de 130 mm - Mango de Madera Ovengkol 100% natural de bosques certificados FSC® - Embalaje 100% reciclado,165100,413,5,0.01%,0.00%,569,7,0.01%,0.00%,93.28%,60.00%,35,6,8.47%,120.00%,"939,62 €","161,68 €",32,3
B0DVT6KPDV,B0DT73LYPQ,"CUPERINOX Cuchillos Montessori | Set de Cuchillos Infantiles de 16 Piezas | Cuchillos Niños Aprendizaje +2 Años | Incluye Delantal, Guante de Seguridad, Moldes Tabla de Cortar | Kids Collection",27016_,"3,583",90,0.08%,0.08%,"4,980",120,0.08%,0.07%,99.24%,100.00%,33,1,0.92%,1.11%,"487,87 €","11,99 €",32,1
B0F54LTCFF,B007TS67Q2,Arcos Cuchillo Chef Acero Inoxidable 120 mm,280304,"31,599",872,0.74%,0.76%,"46,129","1,221",0.76%,0.75%,0.94%,0.25%,39,3,0.12%,0.34%,"506,85 €","38,99 €",31,1
B015HG9B3I,B015HG9B3I,"HENDI Sopera con tapa y cucharón, recipiente para servir sopas y salsas, 2,7L, ⌀270x(H) 175mm, acero inoxidable",H434208,"1,187",74,0.03%,0.06%,"1,849",105,0.03%,0.06%,56.24%,38.81%,63,33,5.31%,44.59%,"2.011,85 €","1.046,35 €",31,9
B017DLM9V6,B017DLM9V6,"Arcos Tenedores de Postre Acero Inoxidable 18/10, Juego de 3 Piezas, Monoblock 180 mm, Serie Toscana, Ideal para Repostería y Sobremesa, Color Plata",574500_,727,15,0.02%,0.01%,916,20,0.02%,0.01%,76.59%,86.67%,50,7,6.88%,46.67%,"412,65 €","57,76 €",31,4
B07N8W33BT,B07N8W33BT,ARCOS Bloque Universal para Cuchillos Caucho Termoplástico 225 mm,794400_,904,21,0.02%,0.02%,"1,265",30,0.02%,0.02%,42.60%,61.90%,31,2,3.43%,9.52%,"775,51 €","49,98 €",31,2
B0FDKY2RXG,B0FDKY2RXG,VINCARE Pack Limpieza Infantil – Detergente Biberones + Multiusos + Quitamanchas – Limpieza Segura para el Entorno del Bebé- 100% MADE IN SPAIN,PACK VINCARE,311,3,0.01%,0.00%,428,6,0.01%,0.00%,96.06%,75.00%,32,0,10.29%,0.00%,"478,92 €","0,00 €",31,0
B017HKG9PK,B0044R87YQ,Arcos Cuchillo para Maitre Negro 100 mm,150500_pp,"7,834",204,0.18%,0.18%,"10,654",255,0.18%,0.16%,6.10%,17.39%,36,3,0.46%,1.47%,"357,93 €","29,67 €",30,1
B0752NT3TH,B005LR77GC,ARCOS Tijeras de Cocina Profesional 235 mm,185701,"23,091",534,0.54%,0.46%,"33,865",784,0.56%,0.48%,0.53%,0.19%,35,8,0.15%,1.50%,"344,94 €","79,20 €",30,4
B08J488ZQG,B007TS6GP4,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Acero Inoxidable 110 mm,815600--,"3,383",103,0.08%,0.09%,"4,439",124,0.07%,0.08%,28.10%,39.81%,40,0,1.18%,0.00%,"1.080,05 €","0,00 €",30,0
B0F1ZF7H1L,B00BHZPKEI,Arcos Cuchillo Blanco 100 mm,230224_,"1,219",33,0.03%,0.03%,"1,803",48,0.03%,0.03%,31.83%,19.23%,30,2,2.46%,6.06%,"596,89 €","36,51 €",30,2
B00J3ZVN54,B00J3ZVN54,ARCOS Cucharas de Mesa Acero Inoxidable 200 mm,574600_,"2,368",59,0.06%,0.05%,"3,529",86,0.06%,0.05%,11.41%,8.62%,53,0,2.24%,0.00%,"476,47 €","0,00 €",30,0
B019H2J21O,B019H2J21O,"Cuperinox 22531, Flanero Inoxidable 18cm con tapa",22531_us,781,9,0.02%,0.01%,"1,057",11,0.02%,0.01%,99.15%,100.00%,33,0,4.23%,0.00%,"294,67 €","0,00 €",30,0
B0H5FT852G,B0714CRSCQ,Arcos Cuchillo Mondador Negro 100 mm,150300,"5,284",147,0.12%,0.13%,"7,975",204,0.13%,0.12%,4.55%,2.88%,40,2,0.76%,1.36%,"398,06 €","19,96 €",30,1
B0H5FLX5H6,B07CBLHKLN,"HENDI Cartuchos de recarga de gas GLP para HENDI Cabezales de antorchas de cocina de llama continua 198247 y 198216, recambios para soplete, paquete de 4 unidades",H199039,78,12,0.00%,0.01%,113,25,0.00%,0.02%,100.00%,100.00%,48,20,61.54%,166.67%,"696,39 €","274,17 €",30,12
B0B8Z4CJBC,B07F2YVB15,"Arcos Juego Cuchillos Pelar Acero Inoxidable Nitrum 4""",136500_2,"5,083",131,0.12%,0.11%,"7,479",176,0.12%,0.11%,61.98%,29.55%,34,5,0.67%,3.82%,"654,16 €","96,20 €",30,4
B09FQ5SZK8,B08MTWTK78,Arcos Cuchillo Santoku Acero Inoxidable Nitrum 190 mm,166600_fbm,"6,462",114,0.15%,0.10%,"9,247",166,0.15%,0.10%,12.55%,15.38%,30,2,0.46%,1.75%,"870,70 €","57,98 €",30,2
B09KJLG7BT,B098XWCFXT,CUPERINOX Jamonero Profesional | soporte de jamon | 5 Piezas | tabla jamonera | soporte jamonero | Kit Jamonero (tabla + cuchillo + afilador + pinza + cubre jamon,20229FBM,"1,491",14,0.03%,0.01%,"1,780",21,0.03%,0.01%,92.59%,100.00%,31,6,2.08%,42.86%,"1.689,69 €","326,94 €",30,5
